Afghanistan,1/1
Afghanistan Mobile,1/1
Afghanistan Mobile AWCC,60/1
Afghanistan Mobile Etisalat,1/1
Afghanistan Mobile MTN,1/1
Afghanistan Mobile Roshan,1/1
Albania,1/1
Albania ALBTEL,1/1
Albania Interactive TV,1/1
Albania Mobile,1/1
Albania Mobile AMC,1/1
Albania Mobile Vodafone,1/1
Albania Tirana,1/1
Algeria,1/1
Algeria Mobile,60/1
Algeria Mobile Ooredoo,60/1
Algeria Mobile Orascom,1/1
Algeria Mobile Satellite,1/1
American Samoa,60/60
Andorra,1/1
Andorra Mobile,1/1
Angola,1/1
Angola Mobile,1/1
Angola Mobile Unitel,1/1
Anguilla,60/60
Antarctica,1/1
Antigua and Barbuda,1/1
Argentina,1/1
Argentina Buenos Aires,1/1
Argentina Cities A,1/1
Argentina Cities B,1/1
Argentina Mobile,1/1
Armenia,1/1
Armenia Mobile,1/1
Armenia Mobile Armentel,1/1
Armenia Mobile Nagorno Karakakh,1/1
Armenia Mobile Orange,1/1
Armenia Mobile Vivacell,1/1
Armenia Nagorno Karakakh,1/1
Armenia Yerevan,1/1
Aruba,1/1
Aruba Mobile,1/1
Aruba Mobile Digicel,1/1
Ascension Island,1/1
Australia,1/1
Australia Mobile,1/1
Australia Mobile Optus,1/1
Australia Mobile Telstra,1/1
Australia Mobile Vodafone,1/1
Australia Satellite Optus,1/1
Australia Satellite Telstra,1/1
Australia Special Services,1/1
Austria,1/1
Austria Mobile,1/1
Austria Mobile H3G,1/1
Austria Mobile Mobilkom,1/1
Austria Mobile TMobile,1/1
Austria Special Services,1/1
Austria Vienna,1/1
Azerbaijan,60/60
Azerbaijan Mobile,60/60
Azerbaijan Mobile Azercell,60/1
Azerbaijan Mobile Azerfon,60/60
Azerbaijan Mobile Bakcell,60/60
Bahamas,1/1
Bahamas Mobile,1/1
Bahrain,1/1
Bahrain Mobile,1/1
Bahrain Mobile VIVA,1/1
Bahrain Mobile Vodafone,1/1
Bangladesh,1/1
Bangladesh Mobile,1/1
Bangladesh Mobile Banglalink,1/1
Bangladesh Mobile Grameenphone,1/1
Bangladesh Mobile Robi,1/1
Barbados,1/1
Barbados Mobile,1/1
Belarus,1/1
Belarus Mobile,1/1
Belarus Mobile MDC,1/1
Belarus Mobility Services,1/1
Belarus Special Services,1/1
Belgium,1/1
Belgium Mobile,1/1
Belgium Mobile Base,1/1
Belgium Mobile Orange,1/1
Belgium Mobile Proximus,1/1
Belgium Universal Access No,1/1
Belize,1/1
Benin,1/1
Benin Mobile MTN,1/1
Benin Mobile Moov,1/1
Benin Mobile SBIN,1/1
Bermuda,1/1
Bhutan,1/1
Bhutan Mobile,1/1
Bolivia,1/1
